employee_id,monthly_salary,month_year
11,38605,2025-03-01
11,38605,2025-04-01
11,38605,2025-05-01
11,38605,2025-06-01
11,38605,2025-07-01
11,38605,2025-08-01
11,42157,2025-09-01
11,42157,2025-10-01
11,42157,2025-11-01
11,42157,2025-12-01
11,43843,2026-01-01
11,43843,2026-02-01
11,43843,2026-03-01
11,43843,2026-04-01
12,33993,2024-01-01
12,37121,2024-02-01
12,37121,2024-03-01
12,37121,2024-04-01
12,37121,2024-05-01
12,37121,2024-06-01
12,37121,2024-07-01
12,37121,2024-08-01
12,37121,2024-09-01
12,37121,2024-10-01
12,37121,2024-11-01
12,37121,2024-12-01
12,38605,2025-01-01
12,42157,2025-02-01
12,42157,2025-03-01
12,42157,2025-04-01
12,42157,2025-05-01
12,42157,2025-06-01
12,42157,2025-07-01
12,42157,2025-08-01
12,42157,2025-09-01
12,42157,2025-10-01
13,25641,2021-09-01
13,28000,2021-10-01
13,28000,2021-11-01
13,28000,2021-12-01
13,29120,2022-01-01
13,29120,2022-02-01
13,29120,2022-03-01
13,29120,2022-04-01
13,29120,2022-05-01
13,29120,2022-06-01
13,29120,2022-07-01
13,29120,2022-08-01
13,29120,2022-09-01
13,36036,2022-10-01
13,36036,2022-11-01
13,36036,2022-12-01
13,37477,2023-01-01
13,37477,2023-02-01
13,37477,2023-03-01
13,37477,2023-04-01
13,37477,2023-05-01
13,37477,2023-06-01
13,37477,2023-07-01
13,37477,2023-08-01
13,37477,2023-09-01
13,39351,2023-10-01
13,39351,2023-11-01
13,39351,2023-12-01
13,40925,2024-01-01
13,40925,2024-02-01
13,40925,2024-03-01
13,40925,2024-04-01
13,40925,2024-05-01
13,40925,2024-06-01
13,40925,2024-07-01
13,40925,2024-08-01
13,40925,2024-09-01
13,42972,2024-10-01
13,42972,2024-11-01
13,42972,2024-12-01
13,44690,2025-01-01
13,44690,2025-02-01
13,44690,2025-03-01
13,44690,2025-04-01
13,44690,2025-05-01
13,44690,2025-06-01
13,44690,2025-07-01
13,44690,2025-08-01
13,44690,2025-09-01
13,44690,2025-10-01
13,44690,2025-11-01
13,44690,2025-12-01
13,46478,2026-01-01
13,46478,2026-02-01
13,46478,2026-03-01
13,46478,2026-04-01
14,35353,2025-05-01
14,38605,2025-06-01
14,38605,2025-07-01
14,38605,2025-08-01
14,38605,2025-09-01
14,38605,2025-10-01
14,38605,2025-11-01
14,38605,2025-12-01
14,40150,2026-01-01
14,40150,2026-02-01
14,40150,2026-03-01
14,40150,2026-04-01
15,33993,2024-03-01
15,37121,2024-04-01
15,37121,2024-05-01
15,37121,2024-06-01
15,37121,2024-07-01
15,37121,2024-08-01
15,37121,2024-09-01
15,37121,2024-10-01
15,37121,2024-11-01
15,37121,2024-12-01
15,38605,2025-01-01
15,38605,2025-02-01
15,38605,2025-03-01
15,42157,2025-04-01
15,42157,2025-05-01
15,42157,2025-06-01
15,42157,2025-07-01
15,42157,2025-08-01
15,42157,2025-09-01
15,42157,2025-10-01
15,42157,2025-11-01
15,42157,2025-12-01
15,43843,2026-01-01
15,43843,2026-02-01
15,43843,2026-03-01
15,47877,2026-04-01
16,31933,2024-07-01
16,34871,2024-08-01
16,34871,2024-09-01
16,34871,2024-10-01
16,34871,2024-11-01
16,34871,2024-12-01
16,36266,2025-01-01
16,36266,2025-02-01
16,36266,2025-03-01
16,36266,2025-04-01
16,36266,2025-05-01
16,36266,2025-06-01
16,36266,2025-07-01
16,40536,2025-08-01
16,40536,2025-09-01
16,40536,2025-10-01
16,40536,2025-11-01
16,40536,2025-12-01
16,42157,2026-01-01
16,42157,2026-02-01
16,42157,2026-03-01
16,42157,2026-04-01
18,31429,2022-03-01
18,34320,2022-04-01
18,34320,2022-05-01
18,34320,2022-06-01
18,34320,2022-07-01
18,34320,2022-08-01
18,34320,2022-09-01
18,34320,2022-10-01
18,34320,2022-11-01
18,34320,2022-12-01
18,35693,2023-01-01
18,35693,2023-02-01
18,35693,2023-03-01
18,38977,2023-04-01
19,35353,2025-07-01
19,38605,2025-08-01
19,38605,2025-09-01
19,38605,2025-10-01
19,38605,2025-11-01
19,38605,2025-12-01
19,40150,2026-01-01
19,40150,2026-02-01
19,40150,2026-03-01
19,40150,2026-04-01
20,27733,2023-02-01
20,30285,2023-03-01
20,30285,2023-04-01
20,30285,2023-05-01
20,30285,2023-06-01
20,30285,2023-07-01
20,30285,2023-08-01
20,30285,2023-09-01
20,30285,2023-10-01
20,30285,2023-11-01
20,30285,2023-12-01
20,31496,2024-01-01
20,31496,2024-02-01
20,38977,2024-03-01
20,38977,2024-04-01
20,38977,2024-05-01
21,31429,2022-11-01
21,34320,2022-12-01
21,35693,2023-01-01
21,35693,2023-02-01
21,35693,2023-03-01
21,35693,2023-04-01
21,35693,2023-05-01
21,35693,2023-06-01
21,35693,2023-07-01
21,35693,2023-08-01
21,35693,2023-09-01
21,35693,2023-10-01
21,35693,2023-11-01
21,38977,2023-12-01
21,40536,2024-01-01
21,40536,2024-02-01
21,40536,2024-03-01
21,40536,2024-04-01
21,40536,2024-05-01
21,40536,2024-06-01
21,40536,2024-07-01
21,40536,2024-08-01
21,40536,2024-09-01
21,40536,2024-10-01
21,40536,2024-11-01
21,44265,2024-12-01
21,46035,2025-01-01
21,46035,2025-02-01
21,46035,2025-03-01
21,46035,2025-04-01
21,46035,2025-05-01
21,46035,2025-06-01
21,46035,2025-07-01
21,46035,2025-08-01
21,46035,2025-09-01
21,46035,2025-10-01
21,46035,2025-11-01
21,44690,2025-12-01
21,46478,2026-01-01
21,46478,2026-02-01
21,46478,2026-03-01
21,46478,2026-04-01
22,35353,2025-10-01
22,38605,2025-11-01
22,38605,2025-12-01
22,40150,2026-01-01
22,40150,2026-02-01
22,40150,2026-03-01
22,40150,2026-04-01
23,36767,2026-03-01
23,40150,2026-04-01
24,35353,2025-07-01
24,38605,2025-08-01
24,38605,2025-09-01
24,38605,2025-10-01
24,38605,2025-11-01
24,38605,2025-12-01
24,40150,2026-01-01
24,40150,2026-02-01
24,40150,2026-03-01
24,40150,2026-04-01
25,33993,2024-06-01
25,37121,2024-07-01
25,37121,2024-08-01
25,37121,2024-09-01
25,37121,2024-10-01
25,37121,2024-11-01
25,37121,2024-12-01
25,38605,2025-01-01
25,38605,2025-02-01
25,38605,2025-03-01
25,38605,2025-04-01
25,38605,2025-05-01
25,38605,2025-06-01
25,42157,2025-07-01
25,42157,2025-08-01
25,42157,2025-09-01
25,42157,2025-10-01
25,42157,2025-11-01
25,42157,2025-12-01
25,43843,2026-01-01
25,43843,2026-02-01
25,43843,2026-03-01
25,43843,2026-04-01
26,36767,2026-01-01
26,40150,2026-02-01
26,40150,2026-03-01
26,40150,2026-04-01
27,36767,2026-03-01
27,40150,2026-04-01
28,32686,2023-12-01
28,37121,2024-01-01
28,37121,2024-02-01
28,37121,2024-03-01
28,37121,2024-04-01
28,37121,2024-05-01
28,37121,2024-06-01
28,37121,2024-07-01
28,37121,2024-08-01
29,35353,2025-11-01
29,38605,2025-12-01
29,40150,2026-01-01
29,40150,2026-02-01
29,40150,2026-03-01
29,40150,2026-04-01
30,25641,2021-12-01
30,29120,2022-01-01
30,29120,2022-02-01
30,29120,2022-03-01
30,29120,2022-04-01
30,29120,2022-05-01
30,29120,2022-06-01
30,29120,2022-07-01
30,29120,2022-08-01
30,29120,2022-09-01
30,29120,2022-10-01
30,29120,2022-11-01
30,29120,2022-12-01
30,37477,2023-01-01
30,37477,2023-02-01
30,37477,2023-03-01
30,37477,2023-04-01
30,37477,2023-05-01
30,37477,2023-06-01
30,37477,2023-07-01
30,37477,2023-08-01
31,35353,2025-06-01
31,38605,2025-07-01
31,38605,2025-08-01
31,38605,2025-09-01
31,38605,2025-10-01
31,38605,2025-11-01
31,38605,2025-12-01
31,40150,2026-01-01
31,40150,2026-02-01
31,40150,2026-03-01
31,40150,2026-04-01
32,31196,2026-01-01
32,34066,2026-02-01
32,34066,2026-03-01
32,34066,2026-04-01
33,35353,2025-01-01
33,38605,2025-02-01
33,38605,2025-03-01
33,38605,2025-04-01
33,38605,2025-05-01
33,38605,2025-06-01
33,38605,2025-07-01
33,38605,2025-08-01
33,38605,2025-09-01
33,38605,2025-10-01
34,34282,2025-05-01
34,37435,2025-06-01
34,37435,2025-07-01
34,37435,2025-08-01
34,37435,2025-09-01
34,37435,2025-10-01
34,37435,2025-11-01
34,37435,2025-12-01
34,38933,2026-01-01
34,38933,2026-02-01
34,38933,2026-03-01
34,38933,2026-04-01
35,30220,2021-12-01
35,34320,2022-01-01
35,34320,2022-02-01
35,34320,2022-03-01
35,34320,2022-04-01
35,34320,2022-05-01
35,34320,2022-06-01
35,34320,2022-07-01
35,34320,2022-08-01
35,34320,2022-09-01
35,34320,2022-10-01
35,34320,2022-11-01
35,34320,2022-12-01
35,38977,2023-01-01
35,38977,2023-02-01
35,38977,2023-03-01
35,38977,2023-04-01
35,38977,2023-05-01
35,38977,2023-06-01
35,38977,2023-07-01
35,38977,2023-08-01
35,38977,2023-09-01
35,38977,2023-10-01
35,38977,2023-11-01
35,38977,2023-12-01
35,44265,2024-01-01
35,44265,2024-02-01
35,44265,2024-03-01
35,44265,2024-04-01
35,44265,2024-05-01
35,44265,2024-06-01
35,44265,2024-07-01
35,44265,2024-08-01
35,44265,2024-09-01
35,44265,2024-10-01
36,35353,2025-01-01
36,38605,2025-02-01
36,38605,2025-03-01
36,38605,2025-04-01
36,38605,2025-05-01
36,38605,2025-06-01
36,38605,2025-07-01
36,38605,2025-08-01
36,38605,2025-09-01
36,38605,2025-10-01
36,38605,2025-11-01
36,38605,2025-12-01
36,40150,2026-01-01
36,43843,2026-02-01
36,43843,2026-03-01
36,43843,2026-04-01
37,36767,2026-04-01
38,27733,2023-03-01
38,30285,2023-04-01
38,30285,2023-05-01
38,30285,2023-06-01
38,30285,2023-07-01
38,30285,2023-08-01
38,30285,2023-09-01
38,30285,2023-10-01
38,30285,2023-11-01
38,30285,2023-12-01
38,31496,2024-01-01
38,31496,2024-02-01
38,31496,2024-03-01
38,38977,2024-04-01
38,38977,2024-05-01
38,38977,2024-06-01
38,38977,2024-07-01
38,38977,2024-08-01
38,38977,2024-09-01
38,38977,2024-10-01
38,38977,2024-11-01
38,38977,2024-12-01
38,40536,2025-01-01
38,40536,2025-02-01
39,31429,2022-03-01
39,34320,2022-04-01
39,34320,2022-05-01
39,34320,2022-06-01
39,34320,2022-07-01
39,34320,2022-08-01
39,34320,2022-09-01
39,34320,2022-10-01
39,34320,2022-11-01
39,34320,2022-12-01
39,35693,2023-01-01
39,35693,2023-02-01
39,35693,2023-03-01
39,38977,2023-04-01
39,38977,2023-05-01
39,38977,2023-06-01
39,38977,2023-07-01
39,38977,2023-08-01
39,38977,2023-09-01
39,38977,2023-10-01
39,38977,2023-11-01
39,38977,2023-12-01
39,40536,2024-01-01
40,31429,2022-09-01
40,34320,2022-10-01
40,34320,2022-11-01
40,34320,2022-12-01
40,35693,2023-01-01
40,35693,2023-02-01
40,35693,2023-03-01
40,35693,2023-04-01
40,35693,2023-05-01
40,35693,2023-06-01
40,35693,2023-07-01
41,33993,2024-03-01
41,37121,2024-04-01
41,37121,2024-05-01
41,37121,2024-06-01
41,37121,2024-07-01
41,37121,2024-08-01
41,37121,2024-09-01
41,37121,2024-10-01
41,37121,2024-11-01
41,37121,2024-12-01
41,38605,2025-01-01
41,38605,2025-02-01
41,38605,2025-03-01
41,42157,2025-04-01
41,42157,2025-05-01
41,42157,2025-06-01
41,42157,2025-07-01
41,42157,2025-08-01
41,42157,2025-09-01
41,42157,2025-10-01
41,42157,2025-11-01
41,42157,2025-12-01
41,43843,2026-01-01
41,43843,2026-02-01
41,43843,2026-03-01
41,47877,2026-04-01
42,36767,2026-01-01
42,40150,2026-02-01
42,40150,2026-03-01
42,40150,2026-04-01
43,35353,2025-10-01
43,38605,2025-11-01
43,38605,2025-12-01
43,40150,2026-01-01
43,40150,2026-02-01
43,40150,2026-03-01
43,40150,2026-04-01
44,36767,2026-03-01
44,40150,2026-04-01
45,35353,2025-11-01
45,38605,2025-12-01
45,40150,2026-01-01
45,40150,2026-02-01
45,40150,2026-03-01
45,40150,2026-04-01
46,27473,2021-06-01
46,30000,2021-07-01
46,30000,2021-08-01
46,30000,2021-09-01
46,30000,2021-10-01
46,30000,2021-11-01
46,30000,2021-12-01
46,31200,2022-01-01
46,31200,2022-02-01
46,31200,2022-03-01
46,31200,2022-04-01
47,32686,2023-09-01
47,35693,2023-10-01
47,35693,2023-11-01
47,35693,2023-12-01
47,37121,2024-01-01
47,37121,2024-02-01
47,37121,2024-03-01
47,37121,2024-04-01
47,37121,2024-05-01
47,37121,2024-06-01
47,37121,2024-07-01
47,37121,2024-08-01
47,37121,2024-09-01
47,40536,2024-10-01
47,40536,2024-11-01
47,40536,2024-12-01
47,42157,2025-01-01
47,42157,2025-02-01
47,42157,2025-03-01
47,42157,2025-04-01
47,42157,2025-05-01
47,42157,2025-06-01
47,42157,2025-07-01
47,42157,2025-08-01
47,42157,2025-09-01
47,46035,2025-10-01
47,46035,2025-11-01
47,46035,2025-12-01
47,47877,2026-01-01
47,47877,2026-02-01
47,47877,2026-03-01
47,47877,2026-04-01
48,32686,2023-04-01
48,35693,2023-05-01
48,35693,2023-06-01
48,35693,2023-07-01
48,35693,2023-08-01
48,35693,2023-09-01
48,35693,2023-10-01
48,35693,2023-11-01
48,35693,2023-12-01
48,37121,2024-01-01
48,37121,2024-02-01
48,37121,2024-03-01
48,37121,2024-04-01
48,40536,2024-05-01
48,40536,2024-06-01
48,40536,2024-07-01
48,40536,2024-08-01
48,40536,2024-09-01
48,40536,2024-10-01
48,40536,2024-11-01
48,40536,2024-12-01
48,42157,2025-01-01
48,42157,2025-02-01
48,42157,2025-03-01
48,42157,2025-04-01
48,46035,2025-05-01
48,46035,2025-06-01
48,46035,2025-07-01
48,46035,2025-08-01
48,46035,2025-09-01
48,46035,2025-10-01
48,46035,2025-11-01
48,46035,2025-12-01
48,47877,2026-01-01
48,47877,2026-02-01
48,47877,2026-03-01
48,47877,2026-04-01
49,36767,2026-02-01
49,40150,2026-03-01
49,40150,2026-04-01
50,36767,2026-03-01
50,40150,2026-04-01
51,32686,2023-02-01
51,35693,2023-03-01
51,35693,2023-04-01
51,35693,2023-05-01
51,35693,2023-06-01
51,35693,2023-07-01
51,35693,2023-08-01
51,35693,2023-09-01
51,35693,2023-10-01
51,35693,2023-11-01
51,35693,2023-12-01
51,37121,2024-01-01
51,37121,2024-02-01
51,40536,2024-03-01
51,40536,2024-04-01
51,40536,2024-05-01
51,40536,2024-06-01
51,40536,2024-07-01
51,40536,2024-08-01
51,40536,2024-09-01
51,40536,2024-10-01
51,40536,2024-11-01
51,40536,2024-12-01
51,42157,2025-01-01
51,42157,2025-02-01
51,46035,2025-03-01
51,46035,2025-04-01
51,46035,2025-05-01
51,46035,2025-06-01
51,46035,2025-07-01
51,46035,2025-08-01
51,46035,2025-09-01
51,46035,2025-10-01
51,46035,2025-11-01
51,46035,2025-12-01
51,47877,2026-01-01
51,47877,2026-02-01
51,46478,2026-03-01
51,46478,2026-04-01
52,35353,2025-06-01
52,38605,2025-07-01
52,38605,2025-08-01
52,38605,2025-09-01
52,38605,2025-10-01
52,38605,2025-11-01
52,38605,2025-12-01
52,40150,2026-01-01
52,40150,2026-02-01
52,40150,2026-03-01
52,40150,2026-04-01
53,35353,2025-09-01
53,38605,2025-10-01
53,38605,2025-11-01
53,38605,2025-12-01
53,40150,2026-01-01
53,40150,2026-02-01
53,40150,2026-03-01
53,40150,2026-04-01
54,33993,2024-04-01
54,37121,2024-05-01
54,37121,2024-06-01
54,37121,2024-07-01
54,37121,2024-08-01
54,37121,2024-09-01
54,37121,2024-10-01
54,37121,2024-11-01
54,37121,2024-12-01
54,38605,2025-01-01
54,38605,2025-02-01
54,38605,2025-03-01
54,38605,2025-04-01
54,42157,2025-05-01
54,42157,2025-06-01
54,42157,2025-07-01
54,42157,2025-08-01
54,42157,2025-09-01
54,42157,2025-10-01
54,42157,2025-11-01
54,42157,2025-12-01
54,43843,2026-01-01
54,43843,2026-02-01
54,43843,2026-03-01
54,43843,2026-04-01
55,30705,2023-05-01
55,33530,2023-06-01
55,33530,2023-07-01
55,33530,2023-08-01
55,33530,2023-09-01
55,33530,2023-10-01
55,33530,2023-11-01
55,33530,2023-12-01
55,34871,2024-01-01
55,34871,2024-02-01
55,34871,2024-03-01
55,34871,2024-04-01
56,31429,2022-09-01
56,34320,2022-10-01
56,34320,2022-11-01
56,34320,2022-12-01
56,35693,2023-01-01
56,35693,2023-02-01
56,35693,2023-03-01
56,35693,2023-04-01
56,35693,2023-05-01
56,35693,2023-06-01
56,35693,2023-07-01
56,35693,2023-08-01
56,35693,2023-09-01
56,38977,2023-10-01
56,38977,2023-11-01
56,38977,2023-12-01
56,40536,2024-01-01
57,31429,2022-05-01
57,34320,2022-06-01
57,34320,2022-07-01
57,34320,2022-08-01
57,34320,2022-09-01
57,34320,2022-10-01
57,34320,2022-11-01
57,34320,2022-12-01
57,35693,2023-01-01
57,35693,2023-02-01
57,35693,2023-03-01
57,35693,2023-04-01
57,35693,2023-05-01
57,38977,2023-06-01
57,38977,2023-07-01
57,38977,2023-08-01
57,38977,2023-09-01
57,38977,2023-10-01
57,38977,2023-11-01
57,38977,2023-12-01
57,40536,2024-01-01
57,40536,2024-02-01
57,40536,2024-03-01
57,40536,2024-04-01
57,40536,2024-05-01
57,44265,2024-06-01
57,44265,2024-07-01
57,44265,2024-08-01
57,44265,2024-09-01
57,44265,2024-10-01
57,44265,2024-11-01
57,44265,2024-12-01
57,46035,2025-01-01
58,35353,2025-02-01
58,38605,2025-03-01
58,38605,2025-04-01
58,38605,2025-05-01
58,38605,2025-06-01
58,38605,2025-07-01
58,38605,2025-08-01
58,38605,2025-09-01
58,38605,2025-10-01
58,38605,2025-11-01
58,38605,2025-12-01
58,40150,2026-01-01
58,40150,2026-02-01
58,43843,2026-03-01
58,43843,2026-04-01
59,32686,2023-07-01
59,35693,2023-08-01
59,35693,2023-09-01
59,35693,2023-10-01
59,35693,2023-11-01
59,35693,2023-12-01
59,37121,2024-01-01
59,37121,2024-02-01
59,37121,2024-03-01
59,37121,2024-04-01
59,37121,2024-05-01
59,37121,2024-06-01
59,37121,2024-07-01
59,40536,2024-08-01
59,40536,2024-09-01
59,40536,2024-10-01
59,40536,2024-11-01
59,40536,2024-12-01
59,42157,2025-01-01
59,42157,2025-02-01
59,42157,2025-03-01
59,42157,2025-04-01
59,42157,2025-05-01
59,42157,2025-06-01
59,42157,2025-07-01
59,46035,2025-08-01
59,46035,2025-09-01
59,46035,2025-10-01
59,46035,2025-11-01
59,46035,2025-12-01
59,47877,2026-01-01
59,47877,2026-02-01
59,47877,2026-03-01
59,47877,2026-04-01
60,36767,2026-01-01
60,40150,2026-02-01
60,40150,2026-03-01
60,40150,2026-04-01
61,32686,2023-08-01
61,35693,2023-09-01
61,35693,2023-10-01
61,35693,2023-11-01
61,35693,2023-12-01
61,37121,2024-01-01
61,37121,2024-02-01
61,37121,2024-03-01
61,37121,2024-04-01
61,37121,2024-05-01
61,37121,2024-06-01
61,37121,2024-07-01
61,40536,2024-08-01
61,40536,2024-09-01
61,40536,2024-10-01
61,40536,2024-11-01
61,40536,2024-12-01
61,42157,2025-01-01
61,42157,2025-02-01
61,42157,2025-03-01
61,42157,2025-04-01
61,42157,2025-05-01
61,42157,2025-06-01
61,42157,2025-07-01
61,46035,2025-08-01
61,46035,2025-09-01
61,46035,2025-10-01
61,46035,2025-11-01
61,46035,2025-12-01
61,47877,2026-01-01
61,47877,2026-02-01
61,47877,2026-03-01
61,47877,2026-04-01
62,32686,2023-08-01
62,35693,2023-09-01
62,35693,2023-10-01
62,35693,2023-11-01
62,35693,2023-12-01
62,37121,2024-01-01
62,37121,2024-02-01
62,37121,2024-03-01
62,37121,2024-04-01
62,37121,2024-05-01
62,37121,2024-06-01
62,37121,2024-07-01
62,37121,2024-08-01
62,40536,2024-09-01
62,40536,2024-10-01
62,40536,2024-11-01
62,40536,2024-12-01
63,35353,2025-12-01
63,40150,2026-01-01
63,40150,2026-02-01
63,40150,2026-03-01
63,40150,2026-04-01
64,32686,2023-01-01
64,35693,2023-02-01
64,35693,2023-03-01
64,35693,2023-04-01
64,35693,2023-05-01
64,35693,2023-06-01
64,35693,2023-07-01
64,35693,2023-08-01
64,35693,2023-09-01
64,35693,2023-10-01
64,35693,2023-11-01
64,35693,2023-12-01
64,37121,2024-01-01
64,40536,2024-02-01
64,40536,2024-03-01
64,40536,2024-04-01
64,40536,2024-05-01
64,40536,2024-06-01
64,40536,2024-07-01
64,40536,2024-08-01
64,40536,2024-09-01
64,40536,2024-10-01
64,40536,2024-11-01
64,40536,2024-12-01
64,42157,2025-01-01
64,46035,2025-02-01
64,46035,2025-03-01
64,46035,2025-04-01
64,46035,2025-05-01
64,46035,2025-06-01
64,46035,2025-07-01
64,46035,2025-08-01
64,46035,2025-09-01
64,46035,2025-10-01
64,46035,2025-11-01
64,46035,2025-12-01
64,47877,2026-01-01
64,46478,2026-02-01
64,46478,2026-03-01
64,46478,2026-04-01
65,36767,2026-03-01
65,40150,2026-04-01
66,36767,2026-02-01
66,40150,2026-03-01
66,40150,2026-04-01
67,35353,2025-05-01
67,38605,2025-06-01
67,38605,2025-07-01
67,38605,2025-08-01
67,38605,2025-09-01
67,38605,2025-10-01
67,38605,2025-11-01
67,38605,2025-12-01
67,40150,2026-01-01
67,40150,2026-02-01
67,40150,2026-03-01
67,40150,2026-04-01
68,31933,2024-05-01
68,34871,2024-06-01
68,34871,2024-07-01
68,34871,2024-08-01
68,34871,2024-09-01
68,34871,2024-10-01
68,34871,2024-11-01
68,34871,2024-12-01
68,36266,2025-01-01
68,36266,2025-02-01
69,37121,2024-05-01
69,37121,2024-06-01
69,37121,2024-07-01
69,37121,2024-08-01
69,37121,2024-09-01
69,37121,2024-10-01
69,37121,2024-11-01
69,37121,2024-12-01
69,38605,2025-01-01
69,38605,2025-02-01
69,38605,2025-03-01
70,31429,2022-07-01
70,34320,2022-08-01
70,34320,2022-09-01
70,34320,2022-10-01
70,34320,2022-11-01
70,34320,2022-12-01
70,35693,2023-01-01
70,35693,2023-02-01
70,35693,2023-03-01
70,35693,2023-04-01
70,35693,2023-05-01
70,35693,2023-06-01
70,35693,2023-07-01
70,38977,2023-08-01
70,38977,2023-09-01
70,38977,2023-10-01
70,38977,2023-11-01
70,38977,2023-12-01
71,36767,2026-04-01
72,35353,2025-01-01
72,38605,2025-02-01
72,38605,2025-03-01
72,38605,2025-04-01
72,38605,2025-05-01
72,38605,2025-06-01
72,38605,2025-07-01
72,38605,2025-08-01
72,38605,2025-09-01
72,38605,2025-10-01
72,38605,2025-11-01
72,38605,2025-12-01
72,40150,2026-01-01
72,43843,2026-02-01
72,43843,2026-03-01
72,43843,2026-04-01
73,33993,2024-09-01
73,37121,2024-10-01
73,37121,2024-11-01
73,37121,2024-12-01
73,38605,2025-01-01
73,38605,2025-02-01
73,38605,2025-03-01
73,38605,2025-04-01
73,38605,2025-05-01
73,38605,2025-06-01
73,38605,2025-07-01
73,38605,2025-08-01
73,38605,2025-09-01
73,42157,2025-10-01
73,42157,2025-11-01
73,42157,2025-12-01
73,43843,2026-01-01
73,43843,2026-02-01
73,43843,2026-03-01
